Currency_Value,Date
0.012,"Sat, 23 Jul"
0.012,"Fri, 22 Jul"
0.012,"Thu, 21 Jul"
0.012,"Wed, 20 Jul"
0.012,"Tue, 19 Jul"
0.012,"Mon, 18 Jul"
0.012,"Sun, 17 Jul"
0.012,"Sat, 16 Jul"
0.012,"Fri, 15 Jul"
0.012,"Thu, 14 Jul"
0.013,"Wed, 13 Jul"
0.013,"Tue, 12 Jul"
0.013,"Mon, 11 Jul"
0.012,"Sun, 10 Jul"
0.012,"Sat, 9 Jul"
0.012,"Fri, 8 Jul"
0.012,"Thu, 7 Jul"
0.012,"Wed, 6 Jul"
0.012,"Tue, 5 Jul"
0.012,"Mon, 4 Jul"
0.012,"Sun, 3 Jul"
0.012,"Sat, 2 Jul"
0.012,"Fri, 1 Jul"
0.012,"Thu, 30 Jun"
0.012,"Wed, 29 Jun"
0.012,"Tue, 28 Jun"
